,Name,Street_Address,State,City,Zip_Code,Type,Reviews,No_of_Reviews,Comments,Price_Range
661,Sages Restaurant,15916 NE 83rd St,WA,Redmond,98052-3873," Italian, International, Contemporary",4.5,165,Classical simple delicious dishes from the Moldovan rural areas. Food simple but tasty and amazing service,Medium
662,Lanie's Cafe,471 Albany Shaker Rd,NY,Albany,12211-1583," Italian, American, Bar",4.5,176,"While visiting Albany we came here for dinner. It was a long wait (Saturday night and we did not have reservations).  The restaurant was noisy but the food was very good.  As others mentioned, the portions are large.  We saw many people leaving with leftovers,...More",Medium
663,Aloy's Italian Restaurant,157 Garden St,NY,Poughkeepsie,12601-1933," Italian, Pizza, Vegetarian Friendly",4.5,153,Haven't been to Alloy's in years so wife and I and 5 of our friends decided to eat here. Food was absolutely delicious and portions were large. Service was out of this world. Prices were very reasonable. We will defiantly start going more often.,Medium
664,El Toro Mexican Restaurant,12115 Canyon Rd E,WA,Puyallup,98373-4459," Mexican, Vegetarian Friendly",4.0,68,"They have most of the traditional menu items plus some of their own item.  The sauce on their Chicken al Carbon is excellent.  Restaurant is large with a huge bar seating area.  Beer tap had only 6 different beers, drinks were mixed very well.",Medium
665,Texas Roadhouse,5722 San Bernardo Ave,TX,Laredo,78041-3010," American, Steakhouse",4.5,148,I stopped in here based on the high recommendations from the Trip Advisor apps. The food and service were very good. The herb roasted chicken was especially good and well priced during the day. The only downside of this place is it it’s extremely crowded...More,Medium
666,Torero's Mexican Restaurants,920 N 10th St,WA,Renton,98057-5595," Mexican, Southwestern, Vegetarian Friendly",4.0,149,Met my date here for a late lunch in the bar.  The waitress was extremely friendly and attentive.  I have a particular way that I like my burrito with whole beans and rice on the side.  The waitress was able to capture what I wanted...More,Medium
667,Matts' Rotisserie & Oyster Lounge,16551 NE 74th St,WA,Redmond,98052-7803," American, Bar, Seafood",4.0,317,We went with a group of friends for Happy Hour and were very pleasantly surprised.  There was an excellent selection of beverages and small plates at a reasonable price.,Medium
668,Powerhouse Restaurant Brewery,454 E Main,WA,Puyallup,98372-3258," American, Bar, Pub",4.0,151,"Stopped in for dinner and beer and had a great time.  The pizza was delicious and the fish and chips (I substituted the chips with onion rings which were made perfectly by the way.) was as well.  We enjoyed the atmosphere, but we have to...More",Medium
669,Nerai,55 E 54th St,NY,New York City,10022-4206," Seafood, Mediterranean, Greek",4.5,647,"If you're looking to get off of ""restaurant row"" and need an option for a pre show meal, I would recommend Nerai.  The space is very nice and roomy for a NY restaurant.  We had more then a foot in between tables.  The wait staff...More",Expensive
670,Lombardo's Pizza and Pasta,1203 Mamaroneck Ave,NY,White Plains,10605-4804," Italian, Pizza, Vegetarian Friendly",4.0,96,"Came here on the spur of the moment. We had the Marguerita pizza
and the calamari scarpiello which was the best we ever had
Comes with a little sausage and a hint of spice

Excellent service.",Medium
671,Juliana's Pizza,19 Old Fulton St,NY,Brooklyn,11201-1322," Pizza, Neapolitan, Campania",4.5,3095,"Went here for dinner after walking across the Brooklyn Bridge.  We thought the pizza was excellent.  We had to wait a bit for a table but it was worth it.  And once we ordered, the food came fast. My son got the spaghetti and meatballs...More",Medium
672,Amy Ruth's Home Style Southern Cuisine,113 W 116th St,NY,New York City,10026-2521," American, Vegetarian Friendly",4.0,895,Hands down the best fried chicken I have ever had! Come hungry - the portions are huge. Can’t wait to go back and have the chicken and waffles. My husband said it was great!,Medium
673,Palace Korean BBQ,15932 NE 8th St,WA,Bellevue,98008-3908," Barbecue, Asian, Korean",4.0,35,"The food was good and the service was also satisfactory. I had tried the Korean do your own BBQ first time in South Korea and I must say, this was pretty close to the authentic Korean BBQ experience.",Medium
674,Tacos Garcia,2200 E Amarillo Blvd,TX,Amarillo,79107-5542," Mexican, Southwestern, Vegetarian Friendly",4.0,156,"Most excellent.  Large choice of entrees, great value. Superb service and atmosphere. Endless chips and salsa.",Medium
675,Dinosaur Bar-B-Que,99 Court St,NY,Rochester,14604-1824," American, Bar, Barbecue",4.5,2306,"Saucy,delicious and just right spice Side note, i love the corn that comes with each meal. Fun place, a little loud. On street parking limited, but food worth it.",Medium
676,LongHorn Steakhouse,160 Route 17 North,NJ,Rochelle Park,07662-4004," American, Steakhouse",4.0,87,"My local place for a dinner. Good steak and service. What else do you need 👍
Usually we going with family to celebrate events or I can go solo sometimes",Medium
677,Texas,3609 Shire Blvd,TX,Richardson,75082-2245," American, Steakhouse, Gluten Free Options",4.5,306,"This is a good place, something for everyone. The menu is extremely varied, both selections and prices. The number of service people is almost over-the-top. Prices vary from $12.95 for a nice burger plate to about $50 for a large filet. Several fish dishes also,...More",Expensive
678,MOROSO Wood Fired Pizzeria,4700 Bosque Blvd,TX,Waco,76710-4661," Italian, Pizza, Vegetarian Friendly",4.5,158,Had the lobster ravioli which was very mediocre. You could not taste the stuffing inside. The pizza was good. Brusetta Average.,Medium
679,De Novo European Pub,275 Bellevue Ave,NJ,Montclair,07043-1300," American, Bar, European",4.5,205,We came to De Nova for a business meeting and found the restaurant to be warm cozy and casual.    After  looking over the menu  I was thrilled to see the pasta was available gluten free.  Past attempts at gluten free pasta resulted in tasteless and...More,Medium
680,Chuy's,4001 Bagpiper Way,TX,Arlington,76018-6052," Mexican, Southwestern",4.5,154,"This place stays busy because the food is so good. They have a variety of plates to choose from. The Tres Leches cake is to die for you just cant find another like it,",Medium
681,Thirsty Lion Gastropub & Grill,350 Las Colinas Blvd W,TX,Irving,75039-5469," Gastropub, Vegetarian Friendly, Gluten Free Options",4.0,73,"Thirsty Lion is located in Toyota Music Factory in Irving. The restaurant is new and well decorated. They serve American food: sandwiches, salads, and hamburgers. Thirsty Lion serves brunch on Saturdays and Sundays. Food is good, but nothing special.",Medium
682,zero otto nove,2357 Arthur Ave,NY,Bronx,10458-8103," Italian, Pizza, Vegetarian Friendly",4.5,426,"A fund and exciting menu...staff is helpful and  accommodating  and dining there is really an experience like
being in  Tuscany...especially if it is someone's birthday!",Medium
